Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Hello Neighbor: Hide & Seek,NS,Adventure,Gearbox Software,0.06,,,0.01,0.07,7/12/2018
Home Sweet Home (2017),PS4,Adventure,Mastiff,0.05,,,0.01,0.07,16/10/2018
Hello Neighbor: Hide & Seek,PS4,Adventure,Gearbox Software,0.05,,,0.01,0.07,7/12/2018
Hello Neighbor: Hide & Seek,XOne,Adventure,Gearbox Software,0.06,,,0.01,0.07,7/12/2018
The Invisible Hours,XOne,Adventure,Tequila Works,0.05,,,0.01,0.05,24/4/2018
Scribblenauts Mega Pack,NS,Adventure,Warner Bros. Interactive Entertainment,0.05,,,0.01,0.05,18/9/2018
Capcom Beat 'Em Up Bundle,PC,Fighting,Capcom,,,,,,18/9/2018
Don't Starve,PS4,Adventure,Klei Entertainment,0.04,,,0.01,0.05,17/4/2018
ARK Park,PS4,Adventure,Snail Games USA,0.04,,,0.01,0.05,30/10/2018
Jake Hunter Detective Story: Ghost of the Dusk,3DS,Adventure,Aksys Games,0.03,,0.01,0,0.05,28/9/2018
Cat Quest,NS,Adventure,PQube,0.04,,,0,0.04,9/10/2018
Adventure Time: Pirates of the Enchiridion,XOne,Adventure,Outright Games,0.04,,,0,0.04,17/7/2018
Scribblenauts Mega Pack,XOne,Adventure,Warner Bros. Interactive Entertainment,0.04,,,0,0.04,18/9/2018
Don't Starve: Giant Edition,XOne,Adventure,505 Games,0.04,,,0,0.04,17/4/2018
Scribblenauts Mega Pack,PS4,Adventure,Warner Bros. Interactive Entertainment,0.03,,,0.01,0.04,18/9/2018
Punch Line,PS4,Adventure,PQube,0.03,,,0.01,0.04,9/10/2018
The Raven Remastered,PS4,Adventure,THQ Nordic,0.03,,,0.01,0.03,13/3/2018
Don't Knock Twice,PS4,Adventure,Perpetual,0.02,,,0.01,0.03,27/2/2018
Adventure Time: Pirates of the Enchiridion,NS,Adventure,Outright Games,0.01,0.02,,0,0.03,17/7/2018
The Town of Light,NS,Adventure,Wired Productions,0.02,,,0,0.03,1/1/2018
The Raven Remastered,XOne,Adventure,THQ Nordic,0.02,,,0,0.03,13/3/2018
Death Mark,NS,Adventure,Aksys Games,0.02,,0,0,0.03,31/10/2018
7'scarlet,PSV,Adventure,Aksys Games,,,0.02,,0.02,25/5/2018
Code: Realize - Shukufuku no Mirai,PSV,Adventure,Aksys Games,,,0.02,,0.02,30/3/2018
Adventure Time: Pirates of the Enchiridion,PS4,Adventure,Outright Games,0.01,,,0,0.02,17/7/2018
Minecraft: Story Mode - Season Two,NS,Adventure,Telltale Games,0.02,,,0,0.02,6/11/2018
Flipping Death,NS,Adventure,Rising Star,0.01,,,0,0.01,16/10/2018
Jake Hunter Detective Story: Prism of Eyes,PS4,Adventure,Arc System Works,,,0.01,,0.01,9/8/2018
Jake Hunter Detective Story: Prism of Eyes,NS,Adventure,Arc System Works,,,0.01,,0.01,9/8/2018
Fortissimo,PSV,Adventure,Otomate Idea Factory,,,0.01,,0.01,8/3/2018
NG,PSV,Adventure,Experience Inc.,,,0.01,,0.01,13/9/2018
Wand of Fortune R2 FD: Kimi ni Sasageru Epilogue,PSV,Adventure,Idea Factory,,,0.01,,0.01,4/10/2018
Kurenai no Homura: Sanada Ninpou Chou,PSV,Adventure,Idea Factory,,,0.01,,0.01,26/6/2018
Leisure Suit Larry: Wet Dreams Don't Dry,PC,Adventure,Assemble Entertainment,,0.01,,0,0.01,7/11/2018
Dynamic Chord feat. Apple-Polisher: V Edition,PSV,Adventure,honeybee,,,0.01,,0.01,28/6/2018
Beniiro Tenjou Ayakashi Kitan Futaai,PSV,Adventure,Dramatic Create,,,0,,0,29/11/2018
Ninki Seiyuu no Tsukurikata,PSV,Adventure,Entergram,,,0,,0,25/1/2018
Ephemeral: Fantasy on Dark,PSV,Adventure,Dramatic Create,,,0,,0,18/1/2018
Island,PS4,Adventure,Prototype,,,0,,0,28/6/2018
Tonari ni Kanojo no Iru Shiawase: Winter Guest,PS4,Adventure,Entergram,,,0,,0,28/6/2018
Devil May Cry HD Collection,PS4,Action,Capcom,0.1,0.06,0.02,0.03,0.21,13/3/2018
Mega Man 11,All,Platform,Capcom,,,,,,2/10/2018
Mega Man 11,NS,Platform,Capcom,0.29,,0.03,0.03,0.36,2/10/2018
Mega Man 11,PS4,Platform,Capcom,0.09,0.03,0.03,0.03,0.17,2/10/2018
Mega Man Legacy Collection 1+2,NS,Platform,Capcom,0.2,,0.03,0.02,0.25,22/5/2018
Mega Man X Legacy Collection,All,Platform,Capcom,,,,,,24/7/2018
Monster Hunter Generations Ultimate,NS,Action,Capcom,0.27,0.14,0.27,0.04,0.72,28/8/2018
Monster Hunter: World,PC,Action,Capcom,,,,,,9/8/2018
Monster Hunter: World,PS4,Action,Capcom,,,,,,26/1/2018
